Visit_ID,Avg_Session_Duration,Pages_Per_Session,Channel,Zone,Order
100001,1.5,1,Paid Search,North,0
100002,12,2,Paid Search,South,1
100003,3,3,Direct,South,1
100004,10.5,4,Direct,South,1
100005,6,4,Direct,South,1
100006,9,4,Direct,South,1
100007,6,4,Direct,South,1
100008,9,2,Direct,South,1
100009,3,4,Direct,South,1
100010,7.5,2,Direct,North,1
100011,3,1,Direct,South,1
100012,12,4,Direct,South,1
100013,3,1,Direct,North,1
100014,6,4,Direct,North,1
100015,3.75,4,Direct,South,1
100016,6,2,Direct,North,1
100017,6,4,Direct,North,1
100018,7.5,3,Direct,South,1
100019,6,2,Direct,North,1
100020,6,2,Direct,South,1
100021,2.25,1,Direct,North,1
100022,1.5,1,Direct,South,1
100023,2.5,1,Direct,North,1
100024,3,4,Direct,South,1
100025,2.5,1,Direct,South,1
100026,1.5,1,Direct,North,1
100027,1.5,1,Direct,North,1
100028,3,3,Direct,South,1
100029,1.75,1,Direct,South,1
100030,15,4,Direct,South,1
100031,4.5,3,Direct,South,1
100032,6,2,Direct,South,1
100033,4.5,2,Direct,South,1
100034,3,4,Direct,North,1
100035,3,1,Direct,North,1
100036,11.25,2,Direct,North,1
100037,12,3,Direct,North,1
100038,4.5,2,Direct,North,1
100039,2.5,1,Direct,South,1
100040,2.25,1,Direct,North,1
100041,7.5,2,Direct,North,1
100042,3,1,Direct,South,1
100043,4.5,4,Direct,South,1
100044,7.5,4,Direct,North,1
100045,12,4,Direct,North,1
100046,2.75,1,Direct,North,1
100047,9,4,Direct,North,1
100048,1.5,1,Direct,North,1
100049,2.75,1,Direct,North,1
100050,3,2,Direct,North,1
100051,6,2,Direct,North,1
100052,6.75,2,Direct,North,1
100053,3,2,Direct,South,1
100054,4.5,1,Direct,South,1
100055,9,4,Direct,North,1
100056,1.5,1,Direct,North,1
100057,3,1,Direct,South,1
100058,9,2,Direct,South,1
100059,4.5,2,Direct,South,1
100060,9,4,Direct,North,1
100061,2.25,1,Direct,South,1
100062,3.75,4,Direct,North,1
100063,9,4,Direct,North,1
100064,12,2,Direct,South,1
100065,6,4,Direct,North,1
100066,6.75,4,Direct,North,1
100067,3,2,Direct,South,1
100068,3,1,Direct,North,1
100069,9,4,Direct,North,1
100070,9,4,Direct,North,1
100071,9,2,Direct,North,1
100072,1.75,1,Direct,North,1
100073,2,1,Direct,South,1
100074,10.5,1,Direct,South,1
100075,9,4,Direct,North,1
100076,3,4,Direct,North,1
100077,10.5,3,Direct,North,1
100078,2.75,1,Direct,South,1
100079,13.5,2,Direct,South,1
100080,7.5,1,Direct,South,1
100081,6,1,Direct,North,1
100082,3.75,3,Direct,North,1
100083,4.5,4,Direct,South,1
100084,6,4,Direct,North,1
100085,2.5,1,Direct,South,1
100086,3,2,Direct,North,1
100087,4.5,1,Direct,North,1
100088,9,4,Direct,North,1
100089,4.5,3,Direct,North,1
100090,3,3,Direct,North,1
100091,3,4,Direct,North,1
100092,3,3,Direct,North,1
100093,3,3,Direct,North,1
100094,6,4,Direct,North,1
100095,3,4,Direct,North,1
100096,13.5,4,Direct,South,1
100097,3,2,Direct,North,1
100098,4.5,4,Direct,North,1
100099,9,4,Direct,North,1
